benchmark,noise_percent,seed,arm,alpha,alpha_mode,best_beta,validation_error,true_alpha,target_noise_l2,initial_slice_effect_l2,target_variance_clean,target_variance_noisy,temporal_adjoint_weight_norm
Frac. RD (space),0.0,0,clean_initial_slice,0.8298500000000001,fractional_subunit,1.6626948675778277,0.006124499192783022,1.0,0.0,0.0,5.421064415718002e-07,5.421064415718002e-07,37.323348938646845
Frac. RD (space),0.0,0,target_only_noise,0.8298500000000001,fractional_subunit,1.6626948675778277,0.006124499192783022,1.0,0.0,0.0,5.421064415718002e-07,5.421064415718002e-07,37.323348938646845
Frac. RD (space),0.0,0,library_only_noise,0.8298500000000001,fractional_subunit,1.6626948675778277,0.006124499192783022,1.0,0.0,0.0,5.421064415718002e-07,5.421064415718002e-07,37.323348938646845
Frac. RD (space),0.0,0,clean,0.8323375000000001,fractional_subunit,1.6626176309430456,0.005955844930743408,1.0,0.0,0.0,5.43119769072755e-07,5.43119769072755e-07,37.49570183065245
Frac. RD (space),0.0,0,fully_noisy,0.8323375000000001,fractional_subunit,1.6626176309430456,0.005955844930743408,1.0,0.0,0.0,5.43119769072755e-07,5.43119769072755e-07,37.49570183065245
Frac. RD (space),0.0,0,clean_initial_slice,0.8323375000000001,fractional_subunit,1.6626176309430456,0.005955844930743408,1.0,0.0,0.0,5.43119769072755e-07,5.43119769072755e-07,37.49570183065245
Frac. RD (space),0.0,0,target_only_noise,0.8323375000000001,fractional_subunit,1.6626176309430456,0.005955844930743408,1.0,0.0,0.0,5.43119769072755e-07,5.43119769072755e-07,37.49570183065245
Frac. RD (space),0.0,0,library_only_noise,0.8323375000000001,fractional_subunit,1.6626176309430456,0.005955844930743408,1.0,0.0,0.0,5.43119769072755e-07,5.43119769072755e-07,37.49570183065245
Frac. RD (space),0.0,0,clean,0.834825,fractional_subunit,1.6625396844422342,0.00578947070298002,1.0,0.0,0.0,5.441305783969845e-07,5.441305783969845e-07,37.67025362932452
Frac. RD (space),0.0,0,fully_noisy,0.834825,fractional_subunit,1.6625396844422342,0.00578947070298002,1.0,0.0,0.0,5.441305783969845e-07,5.441305783969845e-07,37.67025362932452
Frac. RD (space),0.0,0,clean_initial_slice,0.834825,fractional_subunit,1.6625396844422342,0.00578947070298002,1.0,0.0,0.0,5.441305783969845e-07,5.441305783969845e-07,37.67025362932452
Frac. RD (space),0.0,0,target_only_noise,0.834825,fractional_subunit,1.6625396844422342,0.00578947070298002,1.0,0.0,0.0,5.441305783969845e-07,5.441305783969845e-07,37.67025362932452
Frac. RD (space),0.0,0,library_only_noise,0.834825,fractional_subunit,1.6625396844422342,0.00578947070298002,1.0,0.0,0.0,5.441305783969845e-07,5.441305783969845e-07,37.67025362932452
Frac. RD (space),0.0,0,clean,0.8373125,fractional_subunit,1.6624619065432868,0.005625739336681812,1.0,0.0,0.0,5.451436577746514e-07,5.451436577746514e-07,37.84701585452595
Frac. RD (space),0.0,0,fully_noisy,0.8373125,fractional_subunit,1.6624619065432868,0.005625739336681812,1.0,0.0,0.0,5.451436577746514e-07,5.451436577746514e-07,37.84701585452595
Frac. RD (space),0.0,0,clean_initial_slice,0.8373125,fractional_subunit,1.6624619065432868,0.005625739336681812,1.0,0.0,0.0,5.451436577746514e-07,5.451436577746514e-07,37.84701585452595
Frac. RD (space),0.0,0,target_only_noise,0.8373125,fractional_subunit,1.6624619065432868,0.005625739336681812,1.0,0.0,0.0,5.451436577746514e-07,5.451436577746514e-07,37.84701585452595
Frac. RD (space),0.0,0,library_only_noise,0.8373125,fractional_subunit,1.6624619065432868,0.005625739336681812,1.0,0.0,0.0,5.451436577746514e-07,5.451436577746514e-07,37.84701585452595
Frac. RD (space),0.0,0,clean,0.8398,fractional_subunit,1.6623816092230832,0.005463582934369359,1.0,0.0,0.0,5.461442968984293e-07,5.461442968984293e-07,38.025999893446446
Frac. RD (space),0.0,0,fully_noisy,0.8398,fractional_subunit,1.6623816092230832,0.005463582934369359,1.0,0.0,0.0,5.461442968984293e-07,5.461442968984293e-07,38.025999893446446
Frac. RD (space),0.0,0,clean_initial_slice,0.8398,fractional_subunit,1.6623816092230832,0.005463582934369359,1.0,0.0,0.0,5.461442968984293e-07,5.461442968984293e-07,38.025999893446446
Frac. RD (space),0.0,0,target_only_noise,0.8398,fractional_subunit,1.6623816092230832,0.005463582934369359,1.0,0.0,0.0,5.461442968984293e-07,5.461442968984293e-07,38.025999893446446
Frac. RD (space),0.0,0,library_only_noise,0.8398,fractional_subunit,1.6623816092230832,0.005463582934369359,1.0,0.0,0.0,5.461442968984293e-07,5.461442968984293e-07,38.025999893446446
Frac. RD (space),0.0,0,clean,0.8422875000000001,fractional_subunit,1.662300364942929,0.005303639497555159,1.0,0.0,0.0,5.471410724666396e-07,5.471410724666396e-07,38.20721700077187
